접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2024,11500,강서구,10500,마곡동,1,대지,773,1,마곡역센트럴푸르지오시티,20241029,18500,23,30.69,8,,,2016,오피스텔,중개거래,"경기 김포시, 서울 강서구"
2024,11530,구로구,10200,구로동,1,대지,110,8,하나세인스톤1차,20241029,14550,21.725,0,16,,,2011,아파트,중개거래,서울 구로구
2024,11650,서초구,10700,반포동,1,대지,1,0,래미안원베일리,20241029,330000,59.96,0,16,,,2023,아파트,중개거래,서울 서초구
2024,11680,강남구,10100,역삼동,1,대지,824,25,대우디오빌플러스,20241029,30000,38.96,48.49,7,,,2004,오피스텔,중개거래,서울 강남구
2024,11350,노원구,10500,상계동,1,대지,1282,0,상계2차중앙하이츠,20241029,54500,59.82,0,4,,,1998,아파트,중개거래,서울 노원구
2024,11305,강북구,10300,수유동,1,대지,24,13,예움하우스(24-13),20241029,17600,29.5,17,3,,,2019,연립다세대,중개거래,서울 강북구
2024,11440,마포구,12500,성산동,1,대지,591,6,상암 퍼스티지 더올림 오피스텔,20241029,16500,17.14,25.95,3,,,2018,오피스텔,직거래,
2024,11200,성동구,10100,상왕십리동,1,대지,12,47,센트럴큐브,20241029,30000,24.76,0,16,,,2019,아파트,중개거래,서울 성동구
2024,11215,광진구,10700,화양동,1,대지,18,9,화양 디펠리체,20241029,19300,20.448,35.1918,5,,,2019,오피스텔,중개거래,서울 광진구
2024,11650,서초구,10800,서초동,1,대지,1328,7,대우도씨에빛,20241029,31200,40.46,54.45,23,,,2003,오피스텔,직거래,
2024,11530,구로구,10600,고척동,1,대지,141,1,서울가든,20241029,45000,64.39,0,2,,,1989,아파트,중개거래,서울 양천구
2024,11740,강동구,10500,길동,1,대지,457,0,청광플러스원큐브2차,20241029,10000,14.495,0,13,,,2013,아파트,중개거래,서울 강동구
2024,11470,양천구,10100,신정동,1,대지,326,0,목동신시가지12,20241029,155000,71.64,0,7,,,1988,아파트,중개거래,서울 양천구
2024,11260,중랑구,10300,중화동,1,대지,457,0,중화동힐스페이스,20241028,33500,40.41,28,3,,,2018,연립다세대,중개거래,서울 중랑구
2024,11440,마포구,12200,합정동,1,대지,444,4,합정아르빌,20241028,56000,43.01,26,5,,,2008,연립다세대,중개거래,서울 마포구
2024,11305,강북구,10300,수유동,1,대지,205,0,수유벽산1차,20241028,53400,63.78,0,13,,,1993,아파트,직거래,
2024,11470,양천구,10100,신정동,1,대지,312,0,목동신시가지9,20241028,210000,106.93,0,5,,,1987,아파트,중개거래,서울 양천구
2024,11560,영등포구,13200,신길동,1,대지,255,9,신길AK푸르지오,20241028,90250,49.466,0,20,분양권,,0,아파트,직거래,
2024,11560,영등포구,11000,여의도동,1,대지,525,0,브라이튼여의도,20241028,369100,101.95,0,15,,,2023,아파트,직거래,
2024,11740,강동구,10900,천호동,1,대지,291,39,골드Cherevill,20241028,24500,34.93,25,4,,,2016,연립다세대,중개거래,서울 강동구
2024,11500,강서구,10900,방화동,1,대지,796,0,신동아,20241028,58000,59.4,0,11,,,1995,아파트,중개거래,서울 강서구
2024,11410,서대문구,11100,홍제동,1,대지,331,0,홍제현대,20241028,82500,75.15,0,5,,,1992,아파트,중개거래,서울 서대문구
2024,11260,중랑구,10500,망우동,1,대지,580,0,금호어울림(580),20241028,65500,84.93,0,3,,,2006,아파트,중개거래,서울 중랑구
2024,11680,강남구,10500,삼성동,1,대지,44,16,아르헤 타워,20241028,52000,37.4,47.3,4,,,2016,오피스텔,중개거래,서울 강남구
2024,11440,마포구,10200,공덕동,1,대지,463,0,마포현대하이엘,20241028,33500,46.484,60.799,9,,,2005,오피스텔,중개거래,서울 마포구
2024,11380,은평구,11400,진관동,1,대지,100,3,아이파크 포레스트 게이트,20241028,13500,24.91,35.78,25,,,2013,오피스텔,중개거래,서울 은평구
2024,11380,은평구,11400,진관동,1,대지,100,4,어드벤스힐 오피스텔,20241028,15500,29.79,40.6015,6,,,2013,오피스텔,중개거래,서울 은평구
2024,11470,양천구,10200,목동,1,대지,709,2,성원2,20241028,62900,59.9,0,3,,,2000,아파트,중개거래,서울 양천구
2024,11290,성북구,11400,삼선동4가,1,대지,9,0,에버그린,20241028,31000,24.29,16,3,,,2019,연립다세대,직거래,
2024,11710,송파구,10500,석촌동,1,대지,212,6,에비앙하우스1,20241028,29500,29.59,20,5,,,2018,연립다세대,직거래,
2024,11500,강서구,10500,마곡동,1,대지,1511,0,마곡미라클,20241028,31000,39.94,24,2,,,2017,연립다세대,중개거래,서울 강서구
2024,11110,종로구,14900,원서동,1,대지,135,51,가인빌라트,20241028,70000,82.48,39,1,,,2001,연립다세대,직거래,
2024,11500,강서구,10200,등촌동,1,대지,726,0,가양역두산위브,20241028,75000,50.09,0,8,,,2022,아파트,중개거래,서울 강남구
2024,11305,강북구,10300,수유동,1,대지,715,12,삼성S클래스(715-12),20241028,16000,28.19,18,2,,,2016,연립다세대,중개거래,서울 강북구
2024,11470,양천구,10300,신월동,1,대지,422,7,보아스청와,20241028,39500,70.82,0,4,,,2004,아파트,중개거래,서울 양천구
2024,11740,강동구,11000,강일동,1,대지,677,4,유러피안하우스I,20241028,6900,15.36,25.49,7,,,2013,오피스텔,중개거래,서울 강동구
2024,11590,동작구,10700,사당동,1,대지,300,80,SweetGarden(300-80),20241028,48607,59.64,34,3,,,2015,연립다세대,직거래,
2024,11590,동작구,10700,사당동,1,대지,300,80,SweetGarden(300-80),20241028,35290,43.3,24,2,,,2015,연립다세대,직거래,
2024,11380,은평구,11400,진관동,1,대지,60,0,은평뉴타운솔하임,20241028,55000,45.034,0,6,,,2017,아파트,직거래,
2024,11410,서대문구,11100,홍제동,1,대지,5,72,서강빌라,20241028,29000,60.9,29,3,,,1996,연립다세대,중개거래,서울 서대문구
2024,11440,마포구,10500,용강동,1,대지,508,0,이편한세상마포리버파크,20241028,179000,59.98,0,14,,,2016,아파트,중개거래,서울 마포구
2024,11215,광진구,10700,화양동,1,대지,527,0,KCC파크타운,20241028,20500,27.63,40.021,8,,,2005,오피스텔,중개거래,서울 광진구
2024,11710,송파구,10200,신천동,1,대지,7,0,장미1,20241028,249000,99,0,12,,,1979,아파트,중개거래,서울 송파구
2024,11290,성북구,13300,정릉동,1,대지,239,0,정릉풍림아이원,20241028,53800,59.88,0,12,,,2005,아파트,중개거래,서울 성북구
2024,11215,광진구,10100,중곡동,1,대지,241,15,넥스트플래닛,20241028,30000,20.11,15,5,,,2019,연립다세대,직거래,
2024,11590,동작구,10700,사당동,1,대지,297,4,정원주택,20241028,19000,35.62,26,-1,,,1991,연립다세대,직거래,
2024,11140,중구,16500,황학동,1,대지,819,0,DUO302,20241028,16000,15.97,0,8,,,2014,아파트,중개거래,"서울 성동구, 서울 중구"
2024,11500,강서구,10300,화곡동,1,대지,372,67,성진주택,20241028,21000,59.97,33,3,,,2000,연립다세대,중개거래,서울 강서구
2024,11560,영등포구,13300,대림동,1,대지,967,2,테라펠리체대림,20241028,42000,29.51,24,4,,,2024,연립다세대,직거래,
2024,11500,강서구,10900,방화동,1,대지,832,0,청솔,20241028,57800,59.04,0,6,,,1994,아파트,중개거래,서울 강서구
2024,11500,강서구,10900,방화동,1,대지,832,0,청솔,20241028,57800,59.04,0,6,,20241031,1994,아파트,중개거래,서울 강서구
2024,11680,강남구,11800,도곡동,1,대지,467,29,타워팰리스3,20241028,650000,244.224,0,57,,,2004,아파트,중개거래,서울 강남구
2024,11305,강북구,10300,수유동,1,대지,567,9,더센트럴,20241028,52500,53.79,32,3,,,2022,연립다세대,직거래,
2024,11290,성북구,10300,돈암동,1,대지,631,0,범양,20241028,59700,59.79,0,3,,,1998,아파트,중개거래,서울 성북구
2024,11590,동작구,10200,상도동,1,대지,227,1,대흥미소가29차(A동),20241028,31500,29.9,18,3,,,2020,연립다세대,중개거래,서울 동작구
2024,11320,도봉구,10700,창동,1,대지,819,0,태영데시앙,20241028,51000,84.995,0,2,,,2003,아파트,직거래,
2024,11590,동작구,10900,신대방동,1,대지,724,0,보라매자이더포레스트,20241028,70100,59.936,0,6,,,2021,아파트,직거래,
2024,11590,동작구,10900,신대방동,1,대지,707,0,현대,20241027,99000,84.57,0,15,,,1996,아파트,중개거래,서울 동작구
2024,11380,은평구,11400,진관동,1,대지,150,0,은평뉴타운기자촌11단지,20241027,69000,59.88,0,13,,,2015,아파트,중개거래,서울 은평구
2024,11290,성북구,13900,석관동,1,대지,405,0,코오롱,20241027,58750,59.94,0,20,,,1999,아파트,중개거래,"서울 동대문구, 서울 성북구"
2024,11110,종로구,18100,행촌동,1,대지,210,220,(210-220),20241027,20500,34.7,15,-1,,,1993,연립다세대,중개거래,서울 종로구
2024,11470,양천구,10200,목동,1,대지,912,0,목동신시가지5,20241027,195000,65.08,0,10,,,1986,아파트,중개거래,서울 양천구
2024,11545,금천구,10200,독산동,1,대지,1007,13,e편한세상독산더타워,20241027,73800,59.622,0,32,,,2019,아파트,중개거래,서울 금천구
2024,11470,양천구,10100,신정동,1,대지,922,4,블루움,20241027,23100,28.8,16,2,,,2017,연립다세대,직거래,
2024,11620,관악구,10200,신림동,1,대지,466,39,"에코플러스(A동,B동)",20241027,25800,28.29,18,6,,,2017,연립다세대,중개거래,서울 관악구
2024,11740,강동구,10900,천호동,1,대지,54,25,골드하임(102동),20241027,63000,84.27,0,4,,,2005,아파트,중개거래,서울 강동구
2024,11230,동대문구,10400,전농동,1,대지,620,56,힐스테이트 청량리 더퍼스트,20241027,47500,38.19,58.71,15,,,2023,오피스텔,중개거래,서울 동대문구
2024,11740,강동구,10500,길동,1,대지,414,6,신암가온,20241027,47000,56.7,0,10,,,2002,아파트,중개거래,서울 강동구
2024,11380,은평구,10800,역촌동,1,대지,12,22,해피리움,20241027,15500,30.51,16,5,,,2012,연립다세대,중개거래,서울 은평구
2024,11380,은평구,10900,신사동,1,대지,297,0,신사씨티,20241027,38400,58.09,0,2,,,1993,아파트,중개거래,서울 은평구
2024,11710,송파구,10400,송파동,1,대지,151,0,2차한양아파트,20241026,188000,146.96,0,4,,,1984,아파트,중개거래,서울 송파구
2024,11380,은평구,10400,갈현동,1,대지,288,0,상신아트빌라(가),20241026,46600,46.53,18,2,,,1994,연립다세대,중개거래,"서울 마포구, 서울 은평구"
2024,11500,강서구,10200,등촌동,1,대지,691,3,부영,20241026,90000,80.64,0,13,,,1994,아파트,중개거래,서울 강서구
2024,11410,서대문구,11800,홍은동,1,대지,13,25,북한산두산위브2차,20241026,76800,59.75,0,9,,,2021,아파트,중개거래,서울 서대문구
2024,11380,은평구,10300,불광동,1,대지,635,0,북한산힐스테이트1차아파트,20241026,73000,59.817,0,11,,,2009,아파트,중개거래,"서울 은평구, 서울 종로구"
2024,11560,영등포구,11000,여의도동,1,대지,525,0,브라이튼여의도,20241026,369100,101.95,0,14,,,2023,아파트,직거래,
2024,11560,영등포구,12800,양평동4가,1,대지,3,3,브릴리언트양평2차,20241026,37800,20.31,7,10,,,2022,연립다세대,중개거래,서울 강서구
2024,11350,노원구,10200,월계동,1,대지,12,0,삼호4,20241026,57950,50.18,0,4,,,1987,아파트,중개거래,서울 노원구
2024,11380,은평구,10800,역촌동,1,대지,11,29,삼성하이빌(11-29),20241026,21400,59.51,33,4,,,2011,연립다세대,중개거래,서울 마포구
2024,11380,은평구,10400,갈현동,1,대지,268,16,삼성쉐르빌(4동),20241026,14800,35.05,17,4,,,2003,연립다세대,중개거래,서울 은평구
2024,11260,중랑구,10100,면목동,1,대지,1536,0,삼성쉐르빌,20241026,33500,55.59,30,6,,,2014,연립다세대,중개거래,서울 중랑구
2024,11590,동작구,10700,사당동,1,대지,105,0,사당우성2,20241026,85800,46.75,0,8,,,1993,아파트,중개거래,서울 동작구
2024,11710,송파구,10700,가락동,1,대지,5,3,현진빌리지,20241026,30000,26.66,19,5,,,2015,연립다세대,중개거래,서울 송파구
2024,11215,광진구,10300,구의동,1,대지,241,1,현대아트빌라(241-1),20241026,16000,36.24,16,-1,,,1995,연립다세대,중개거래,서울 광진구
2024,11215,광진구,10300,구의동,1,대지,218,12,다성리버텔,20241026,22800,33.97,43.85,3,,,2002,오피스텔,중개거래,서울 광진구
2024,11560,영등포구,11400,당산동4가,1,대지,30,1,당산현대5차,20241026,105000,59.85,0,17,,,2000,아파트,중개거래,서울 영등포구
2024,11530,구로구,10100,신도림동,1,대지,649,0,대림e-편한세상7,20241026,124000,84.928,0,8,,,2004,아파트,중개거래,서울 구로구
2024,11200,성동구,10700,행당동,1,대지,346,0,행당한진타운,20241026,145000,84.71,0,18,,,2000,아파트,중개거래,서울 성동구
2024,11620,관악구,10200,신림동,1,대지,610,49,대양빌라(610-49),20241026,17800,36.33,20,2,,,1993,연립다세대,중개거래,서울 관악구
2024,11620,관악구,10200,신림동,1,대지,610,49,대양빌라(610-49),20241026,17800,36.33,20,2,,20241026,1993,연립다세대,중개거래,서울 관악구
2024,11620,관악구,10100,봉천동,1,대지,41,155,한양빌라,20241026,19000,41.11,27,1,,20241030,1986,연립다세대,중개거래,서울 관악구
2024,11380,은평구,10400,갈현동,1,대지,510,10,금강블루,20241026,25000,44.61,26,3,,,2014,연립다세대,중개거래,서울 은평구
2024,11530,구로구,10700,개봉동,1,대지,476,0,한마을,20241026,62300,123.46,0,1,,,1999,아파트,직거래,
2024,11350,노원구,10400,하계동,1,대지,354,0,학여울청구,20241026,80000,84.77,0,10,,,1999,아파트,중개거래,서울 노원구
2024,11530,구로구,10700,개봉동,1,대지,333,16,대윤빌,20241026,26800,50.37,30,5,,,2016,연립다세대,중개거래,서울 구로구
2024,11380,은평구,10700,응암동,1,대지,111,48,프라임팰리스,20241026,46000,71.16,0,12,,,2003,아파트,중개거래,서울 은평구
2024,11410,서대문구,11200,대현동,1,대지,90,58,(90-58),20241026,14000,18.98,3,9,,,2015,연립다세대,중개거래,"서울 마포구, 서울 서대문구"
2024,11440,마포구,12300,망원동,1,대지,432,13,파란도시,20241026,35000,36.93,24,3,,,2008,연립다세대,중개거래,서울 마포구
2024,11710,송파구,10400,송파동,1,대지,151,0,2차한양아파트,20241026,180000,126.9,0,4,,,1984,아파트,중개거래,서울 송파구
2024,11620,관악구,10200,신림동,1,대지,1698,0,태흥,20241026,43300,59.86,0,19,,,1995,아파트,중개거래,서울 금천구
2024,11215,광진구,10500,자양동,1,대지,679,28,태솔타운,20241026,64000,56.48,31,5,,,2016,연립다세대,중개거래,서울 광진구
2024,11410,서대문구,11900,북가좌동,1,대지,295,5,청마파크빌,20241026,28000,45.83,33,2,,,2016,연립다세대,중개거래,서울 서대문구
2024,11230,동대문구,10700,청량리동,3,블럭,199,0,청량리 롯데캐슬 하이루체,20241026,87301,59.931,0,40,입주권,,0,아파트,중개거래,서울 동대문구
2024,11230,동대문구,10700,청량리동,3,블럭,199,0,청량리 롯데캐슬 하이루체,20241026,86250,59.931,0,4,입주권,20241029,0,아파트,중개거래,서울 동대문구
2024,11380,은평구,10900,신사동,1,대지,13,17,동명홈타운,20241026,25200,56.03,32,2,,,2008,연립다세대,중개거래,서울 은평구
2024,11410,서대문구,10500,냉천동,1,대지,260,0,동부센트레빌,20241026,73000,59.86,0,6,,,2002,아파트,중개거래,서울 서대문구
2024,11740,강동구,10300,상일동,1,대지,476,0,중앙하이츠,20241026,93000,84.23,0,1,,,1992,아파트,중개거래,서울 강동구
2024,11740,강동구,10300,상일동,1,대지,476,0,중앙하이츠,20241026,69000,52.74,0,13,,,1992,아파트,중개거래,서울 강동구
2024,11530,구로구,10800,오류동,1,대지,81,185,동산현대빌라,20241026,15000,75.7,44,4,,,2002,연립다세대,중개거래,서울 구로구
2024,11290,성북구,13300,정릉동,1,대지,1028,0,정릉e-편한세상,20241026,90000,114.56,0,12,,,2006,아파트,중개거래,"서울 강북구, 서울 성북구"
2024,11230,동대문구,10400,전농동,1,대지,6,0,전농우성,20241026,58500,59.78,0,7,,,1992,아파트,중개거래,서울 동대문구
2024,11410,서대문구,11000,북아현동,1,대지,1009,0,두산,20241026,85000,59.96,0,16,,,1999,아파트,중개거래,서울 서대문구
2024,11140,중구,16200,신당동,,,,,,20241026,56000,42.98,56,,,,1900,단독다가구,중개거래,서울 중구
2024,11380,은평구,11400,진관동,1,대지,100,2,은평뉴타운 신한 헤센스마트,20241026,11500,20.04,32.2,6,,,2017,오피스텔,중개거래,서울 은평구
2024,11470,양천구,10300,신월동,1,대지,140,1,라움리츠빌,20241026,19300,29.31,18,3,,,2018,연립다세대,중개거래,서울 양천구
2024,11440,마포구,12300,망원동,1,대지,415,64,유담주택,20241026,56000,55.05,32,4,,,2008,연립다세대,중개거래,서울 마포구
2024,11170,용산구,12500,한강로2가,1,대지,422,0,래미안 용산 더 센트럴,20241026,89500,53,72.428,17,,,null,오피스텔,중개거래,서울 용산구
2024,11650,서초구,10800,서초동,1,대지,1754,0,래미안서초에스티지S,20241026,332500,111.01,0,6,,,2018,아파트,중개거래,서울 서초구
